UMAP_1	UMAP_2	cluster	orig.ident	nFeature_RNA	nCount_RNA	percent.mt	SCGB1A1	IGLC1	IGHG1	IGHD	SCGB3A2	SCGB3A1	IGHG3	IGHA1	BPIFB1	C9orf24	IGKC	CXCL8	TPPP3	COL3A1	RSPH1	COL1A1	IL6	MSMB	JCHAIN	TSPAN1
-6.29215917018411	-7.70114841671075	Myofibroblast	lung	264	322	0.62111801242236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.46748127316426	0	0	0
-8.20580872920511	5.6953273752204	AT1	lung	403	530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-2.92652258304117	10.7240482309333	Lymphatic	lung	444	585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-7.89021548655985	-3.58436432094659	Myofibroblast	lung	276	348	1.4367816091954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.39234606353145	0	0	0	0
-2.2012637558317	-3.55278768749322	Pericytes	lung	292	364	1.92307692307692	0	0	0	0	0	0	0	0	0	0	0	0	0	3.34893967404526	0	0	0	0	0	0
-1.19973775771616	13.1283899286262	VE Arterial	lung	1487	2524	1.06973058637084	0	0	1.60180185878519	0	0	0	0	0	0	0	0	0	0	0	0	0	1.60180185878519	0	1.60180185878519	0
-8.18469151881693	6.29895410327826	AT1	lung	296	359	0.557103064066852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-3.16411718753336	-8.88630905361261	Myofibroblast	lung	300	371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.3305666659823	0	0	0	0	0	0
8.85582533451559	-2.23940386982049	Macrophage Alveolar	lung	619	895	0.223463687150838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-2.34579476741312	2.47158405570899	AT2	lung	287	372	8.06451612903226	0	0	0	0	0	0	0	0	0	0	0	4.00302283373135	3.32797129238541	0	0	0	0	0	0	0
-2.15890821841715	3.48010692386542	AT2	lung	258	341	8.79765395894428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-3.59816774753092	2.39570853500281	AT2	lung	672	978	2.14723926380368	0	0	0	0	0	0	0	0	0	0	0	0	3.06571987848673	2.41813887907502	0	0	0	0	0	0
9.1399125156069	-3.52143326015557	Macrophage Alveolar	lung	685	1078	0.556586270871985	0	0	2.32985368712411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8.79493322941305	-2.07932868213739	Macrophage Alveolar	lung	641	942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6.50654163929465	0.96051061539565	ncMonocyte	lung	488	816	0.490196078431373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.723153859648683	10.7660699823371	VE Arterial	lung	700	934	1.82012847965739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-1.2935968342161	-3.66892900676812	Pericytes	lung	338	430	1.86046511627907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-2.82575997737406	6.06877479343329	Lymphatic	lung	352	452	5.75221238938053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-9.07002362636087	-4.48788490505304	Myofibroblast	lung	488	685	0.875912408759124	0	0	0	0	0	0	0	0	0	0	0	0	0	4.48403299127824	0	0	0	0	0	0
-8.574861616168	-3.07638135166253	Myofibroblast	lung	245	299	1.00334448160535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-9.13392266658304	-4.61077537746515	Myofibroblast	lung	573	1003	0.398803589232303	0	0	0	0	0	0	0	0	0	0	0	0	0	4.10792753431207	0	4.25972662068999	6.29042931513781	0	0	0
-8.63516530421732	-5.09323349208917	Myofibroblast	lung	315	434	0.691244239631336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
